t,S,I,R
10.21232413349919,537,286,177
10.221940468789587,536,287,177
10.230381558593166,536,286,178
10.231383482509997,535,287,178
10.231647235751572,535,286,179
10.256151182420968,535,285,180
10.25910244952185,534,286,180
10.261143216745735,533,287,180
10.272208743930552,532,288,180
10.272593398464945,531,289,180
10.277160394080857,530,290,180
10.277554806803577,529,291,180
10.294725274835448,528,292,180
10.297804853605662,527,293,180
10.30922784781771,527,292,181
10.343029858288217,526,293,181
10.346021342405324,526,292,182
10.34639660682095,525,293,182
10.356369105586829,524,294,182
10.374595962604849,524,293,183
10.395129094255184,523,294,183
10.399383597275222,523,293,184
10.405337865423151,523,292,185
10.411101170829456,522,293,185
10.411636639762012,521,294,185
10.428459186740287,520,295,185
10.478175805739061,519,296,185
10.47842970746444,518,297,185
10.486647367390614,517,298,185
10.491785806658282,516,299,185
10.513831238507521,515,300,185
10.517541074484352,514,301,185
10.520800401341024,514,300,186
10.520906084768306,513,301,186
10.523802537149507,513,300,187
10.531155396759104,513,299,188
10.53757203204276,512,300,188
10.551853515458113,512,299,189
10.552965119437998,512,298,190
10.554493172317557,512,297,191
10.554603620863917,512,296,192
10.564307222748996,511,297,192
10.590642815847415,511,296,193
10.592287115646497,511,295,194
10.593555478600845,511,294,195
10.603524695507925,510,295,195
10.606561738621199,510,294,196
10.62027163877668,510,293,197
10.622847050279091,509,294,197
10.637189322119628,509,293,198
10.641083007608302,508,294,198
10.647235604392497,507,295,198
10.650100577664217,507,294,199
10.653465105060446,506,295,199
10.653468852824226,506,294,200
10.655109657666099,506,293,201
10.676202299947782,506,292,202
10.689084125503431,506,291,203
10.70071252237572,506,290,204
10.702443327565007,506,289,205
10.717124389404464,506,288,206
10.745141528806906,505,289,206
10.782762404911,505,288,207
10.798451919878168,504,289,207
10.799681589777604,503,290,207
10.800984556347471,503,289,208
10.83302428749871,502,290,208
10.837145432446622,501,291,208
10.843060336133144,500,292,208
10.846007978539363,499,293,208
10.846297511426835,498,294,208
10.855294098900544,497,295,208
10.858784798721704,496,296,208
10.859172501846956,495,297,208
10.861425007286801,495,296,209
10.867841362863594,494,297,209
