id,arrival,start,finish,wait_time,service_time
80,106.90267896774559,107.8900250323206,108.30995212742235,0.9873460645750072,0.4199270951017553
81,107.78743333649001,108.30995212742235,109.42097697182021,0.5225187909323381,1.1110248443978605
82,107.84262515816941,109.42097697182021,109.46539565493195,1.578351813650798,0.04441868311174346
78,105.71982272656982,106.26948585938383,109.75589997073865,0.5496631328140182,3.4864141113548186
83,109.05298426191241,109.46539565493195,112.86263678628694,0.4124113930195392,3.3972411313549884
84,109.60471324342876,109.75589997073865,113.23355969959998,0.15118672730989147,3.477659728861326
86,112.25383464141761,113.23355969959998,114.04793464615837,0.9797250581823675,0.814374946558388
87,114.22038694416149,114.22038694416149,115.50748997801637,0.0,1.2871030338548763
88,114.24421830744156,115.50748997801637,115.52834517630845,1.2632716705748095,0.020855198292082378
85,109.72300600276935,112.86263678628694,115.67714942777363,3.139630783517589,2.8145126414866866
89,114.91417302193354,115.52834517630845,117.2150449878906,0.6141721543749128,1.6866998115821445
91,116.08562550397437,117.2150449878906,119.00016251605943,1.129419483916223,1.7851175281688398
92,116.32372865155169,119.00016251605943,119.16749987653277,2.676433864507743,0.1673373604733399
93,118.58928482329404,119.16749987653277,119.88100153740699,0.5782150532387362,0.7135016608742148
94,120.2982317563385,120.2982317563385,120.95959252048127,0.0,0.6613607641427706
95,120.85732149555938,120.95959252048127,121.1510969105177,0.10227102492189033,0.19150439003642816
96,122.80449723968039,122.80449723968039,123.41502232443476,0.0,0.6105250847543715
97,123.70432765275488,123.70432765275488,125.65171039157883,0.0,1.947382738823947
98,126.62995559203662,126.62995559203662,126.96625414992693,0.0,0.33629855789030216
90,115.60744575510695,115.67714942777363,128.3246246899848,0.06970367266667665,12.647475262211174
100,128.29984972160915,128.3246246899848,129.00038699065178,0.024774968375652406,0.6757623006669746
99,127.55807931536204,127.55807931536204,131.05926704873303,0.0,3.5011877333709975
